Symbol,Company Name,Sector
AAPL,Apple Inc.,Technology
AMGN,Amgen Inc.,Healthcare
AXP,American Express Company,Financial Services
BA,Boeing Company,Industrials
CAT,Caterpillar Inc.,Industrials
CRM,Salesforce Inc.,Technology
CSCO,Cisco Systems Inc.,Technology
CVX,Chevron Corporation,Energy
DIS,Walt Disney Company,Communication Services
DOW,Dow Inc.,Materials
GS,Goldman Sachs Group Inc.,Financial Services
HD,Home Depot Inc.,Consumer Discretionary
HON,Honeywell International Inc.,Industrials
IBM,International Business Machines Corporation,Technology
INTC,Intel Corporation,Technology
JNJ,Johnson & Johnson,Healthcare
JPM,JPMorgan Chase & Co.,Financial Services
KO,Coca-Cola Company,Consumer Staples
MCD,McDonald's Corporation,Consumer Discretionary
MMM,3M Company,Industrials
MRK,Merck & Co. Inc.,Healthcare
MSFT,Microsoft Corporation,Technology
NKE,Nike Inc.,Consumer Discretionary
PG,Procter & Gamble Company,Consumer Staples
TRV,Travelers Companies Inc.,Financial Services
UNH,UnitedHealth Group Incorporated,Healthcare
V,Visa Inc.,Financial Services
VZ,Verizon Communications Inc.,Communication Services
WBA,Walgreens Boots Alliance Inc.,Consumer Staples
WMT,Walmart Inc.,Consumer Staples